['24', '666', '849', '79', '940', '276', '174', '339', '203', '843', '588', '43', '812', '84', '566', '235', '953', '507', '407', '530', '313', '831', '492', '847', '964', '729', '539', '536', '92', '354', '709', '719', '49', '744', '816', '336', '312', '256', '780', '358', '679', '218', '318', '415', '756', '892', '778', '925', '660']
['320', '753', '747', '337', '16', '98', '302', '247', '40', '658', '389', '945', '362', '9', '833', '735', '381', '827', '786', '333', '122', '479', '422', '627', '1', '524', '506', '701', '683', '252', '292', '450', '779', '349', '251', '221', '693', '402', '130', '463', '425', '117', '697', '541', '442', '563', '281', '383', '57']
['579', '194', '841', '829', '410', '257', '17', '631', '416', '644', '242', '584', '732', '44', '22', '869', '459', '101', '270', '413', '119', '670', '615', '39', '518', '845', '176', '815', '181', '164', '509', '728', '7', '909', '628', '581', '424', '239', '168', '217', '614', '737', '690', '19', '714', '877', '556', '743', '784']
['610', '952', '572', '328', '405', '423', '86', '790', '696', '613', '363', '722', '472', '453', '473', '648', '949', '327', '688', '170', '99', '713', '525', '12', '268', '38', '299', '965', '94', '367', '736', '341', '300', '127', '916', '211', '891', '896', '484', '52', '545', '74', '775', '421', '35', '951', '360', '844', '446']
['357', '654', '222', '948', '182', '733', '238', '331', '605', '134', '56', '882', '440', '935', '485', '553', '272', '460', '966', '521', '493', '907', '374', '731', '219', '681', '968', '958', '565', '324', '343', '718', '162', '828', '26', '890', '231', '527', '764', '46', '917', '151', '599', '104', '972', '557', '664', '514', '412']
['837', '414', '28', '241', '699', '564', '912', '375', '54', '146', '458', '243', '762', '369', '477', '466', '385', '471', '431', '767', '745', '947', '750', '474', '811', '486', '520', '523', '163', '638', '616', '147', '316', '558', '929', '846', '817', '278', '881', '689', '550', '754', '229', '47', '620', '547', '684', '139', '748']
['856', '741', '851', '914', '913', '543', '500', '528', '561', '682', '25', '153', '792', '215', '633', '587', '348', '283', '695', '464', '310', '148', '305', '71', '483', '393', '645', '246', '551', '861', '325', '275', '774', '155', '513', '611', '490', '209', '236', '901', '928', '378', '73', '593', '14', '632', '939', '165', '594']
['508', '894', '771', '749', '782', '438', '230', '634', '3', '586', '794', '723', '957', '189', '468', '323', '516', '21', '752', '727', '495', '109', '41', '876', '145', '262', '64', '298', '962', '81', '534', '192', '888', '202', '590', '662', '382', '904', '304', '781', '156', '560', '132', '8', '640', '725', '726', '107', '126']
['177', '548', '409', '37', '13', '803', '623', '512', '526', '698', '680', '870', '237', '376', '469', '428', '814', '311', '598', '832', '535', '87', '372', '805', '267', '820', '592', '626', '712', '279', '401', '796', '740', '322', '625', '480', '979', '619', '303', '850', '364', '427', '207', '340', '114', '75', '51', '111', '974']
['434', '899', '33', '772', '120', '585', '630', '920', '517', '478', '259', '284', '867', '439', '419', '652', '672', '711', '759', '806', '855', '171', '883', '113', '100', '443', '10', '943', '515', '934', '800', '225', '791', '629', '637', '643', '465', '161', '65', '878', '250', '342', '476', '603', '248', '531', '540', '392', '606']
['653', '5', '441', '819', '768', '580', '93', '529', '475', '577', '288', '265', '78', '347', '141', '552', '457', '612', '860', '45', '602', '501', '196', '326', '198', '769', '787', '609', '597', '810', '406', '169', '271', '261', '72', '118', '232', '824', '152', '85', '296', '390', '636', '567', '68', '136', '159', '142', '874']
['707', '285', '482', '69', '36', '801', '950', '27', '346', '102', '228', '135', '763', '884', '291', '226', '245', '665', '777', '937', '210', '742', '249', '710', '188', '83', '67', '240', '717', '617', '961', '344', '941', '659', '97', '538', '765', '573', '656', '293', '582', '253', '498', '938', '942', '48', '738', '930', '105']
['836', '546', '321', '377', '720', '91', '175', '911', '959', '600', '866', '345', '123', '918', '294', '797', '956', '601', '798', '411', '864', '373', '702', '137', '224', '436', '499', '30', '840', '758', '705', '969', '330', '121', '426', '254', '919', '873', '435', '449', '208', '678', '315', '686', '295', '971', '0', '522', '859']
['549', '755', '785', '502', '496', '596', '721', '287', '739', '190', '927', '583', '576', '574', '417', '366', '274', '178', '404', '467', '447', '922', '667', '555', '260', '692', '932', '15', '32', '220', '647', '900', '921', '128', '691', '50', '793', '184', '62', '29', '82', '622', '418', '66', '504', '826', '931', '875', '639']
['783', '926', '789', '403', '618', '489', '88', '908', '559', '963', '420', '923', '809', '58', '353', '818', '301', '872', '854', '673', '23', '885', '823', '715', '562', '213', '31', '704', '675', '289', '356', '396', '233', '766', '454', '138', '893', '361', '214', '199', '53', '871', '384', '394', '391', '915', '970', '77', '604']
['277', '370', '635', '290', '212', '807', '858', '371', '103', '537', '204', '902', '802', '487', '862', '205', '724', '387', '160', '700', '201', '335', '306', '106', '42', '329', '90', '63', '408', '978', '976', '108', '319', '6', '258', '167', '621', '595', '663', '227', '857', '641', '61', '172', '359', '180', '60', '115', '852']
['835', '133', '166', '309', '297', '244', '751', '191', '776', '834', '351', '216', '314', '853', '674', '761', '694', '286', '264', '865', '95', '532', '830', '497', '445', '671', '399', '825', '848', '494', '868', '503', '158', '332', '379', '470', '607', '839', '960', '708', '889', '455', '669', '578', '263', '20', '703', '608', '18']
['338', '206', '154', '11', '730', '954', '461', '269', '646', '308', '510', '651', '650', '906', '822', '886', '76', '677', '569', '397', '519', '195', '307', '89', '4', '429', '187', '179', '746', '125', '70', '799', '334', '716', '642', '821', '649', '946', '624', '380', '481', '34', '193', '386', '150', '365', '955', '542', '795']
['544', '129', '924', '655', '770', '266', '967', '903', '687', '880', '433', '734', '352', '760', '898', '2', '116', '773', '936', '144', '568', '452', '400', '451', '255', '430', '280', '661', '808', '668', '863', '437', '448', '685', '973', '589', '110', '933', '183', '273', '757', '488', '977', '879', '234', '395', '124', '910', '975']
['140', '282', '575', '813', '444', '887', '944', '173', '157', '186', '591', '350', '398', '842', '96', '788', '456', '388', '462', '55', '112', '59', '554', '571', '223', '143', '131', '570', '432', '491', '317', '804', '706', '368', '533', '149', '355', '897', '197', '511', '676', '505', '185', '657', '895', '905', '80', '200', '838']
