['241', '129', '410', '282', '134', '444', '276', '191', '204', '843', '776', '862', '433', '981', '760', '516', '752', '612', '514', '814', '252', '962', '356', '162', '396', '705', '570', '299', '840', '933', '973', '278', '964', '943', '764', '402', '800', '449', '183', '709', '511', '643', '879', '236', '418', '679', '73', '248', '136', '111']
['733', '212', '247', '56', '157', '215', '745', '431', '420', '880', '696', '552', '750', '734', '404', '553', '439', '652', '109', '672', '376', '922', '469', '638', '55', '681', '64', '32', '108', '289', '408', '12', '534', '202', '233', '426', '868', '494', '597', '275', '881', '208', '156', '390', '725', '19', '296', '708', '522', '606']
['140', '508', '290', '337', '93', '807', '416', '650', '762', '369', '288', '173', '790', '440', '44', '869', '594', '827', '530', '306', '264', '372', '112', '937', '249', '978', '758', '164', '113', '609', '334', '254', '621', '873', '158', '625', '719', '470', '480', '979', '737', '498', '47', '14', '915', '669', '159', '931', '60', '446']
['338', '707', '154', '285', '819', '783', '13', '33', '813', '103', '477', '792', '882', '574', '822', '347', '735', '350', '797', '842', '870', '348', '467', '867', '21', '949', '388', '90', '462', '4', '808', '847', '984', '121', '729', '513', '904', '717', '484', '97', '53', '161', '582', '378', '657', '455', '165', '795', '327', '999']
['579', '222', '11', '646', '894', '194', '913', '98', '623', '203', '230', '812', '833', '634', '474', '314', '674', '1', '864', '759', '397', '885', '286', '932', '115', '831', '675', '188', '181', '769', '994', '509', '848', '796', '300', '581', '322', '50', '368', '744', '637', '538', '656', '65', '603', '107', '75', '556', '77', '392']
['414', '177', '16', '287', '561', '749', '371', '588', '123', '918', '102', '76', '788', '352', '272', '966', '407', '291', '615', '701', '148', '219', '429', '39', '565', '63', '647', '198', '590', '110', '26', '662', '382', '821', '169', '138', '824', '199', '896', '217', '573', '541', '678', '281', '74', '66', '395', '778', '930', '525']
['856', '320', '836', '572', '548', '510', '841', '829', '489', '238', '682', '331', '801', '903', '887', '998', '339', '630', '153', '242', '487', '722', '953', '493', '727', '335', '224', '451', '329', '430', '171', '71', '845', '571', '965', '125', '223', '883', '817', '693', '861', '332', '490', '293', '476', '295', '358', '421', '632', '838']
['482', '755', '580', '403', '502', '166', '992', '528', '496', '40', '79', '751', '537', '86', '834', '613', '363', '886', '587', '381', '459', '119', '453', '479', '695', '860', '226', '23', '568', '598', '683', '105', '298', '499', '393', '221', '399', '271', '774', '697', '641', '816', '355', '132', '714', '394', '256', '942', '925', '660']
['741', '544', '434', '375', '575', '302', '266', '174', '908', '987', '58', '802', '767', '680', '472', '798', '419', '648', '855', '495', '45', '694', '41', '616', '262', '31', '989', '448', '268', '179', '746', '445', '432', '258', '231', '810', '536', '454', '527', '361', '617', '488', '891', '184', '152', '977', '229', '938', '365', '995']
['357', '328', '954', '785', '543', '27', '967', '772', '438', '782', '346', '920', '591', '586', '566', '235', '521', '507', '473', '116', '773', '688', '245', '400', '982', '305', '192', '70', '558', '626', '406', '130', '706', '793', '211', '757', '765', '336', '364', '315', '34', '593', '342', '928', '359', '218', '557', '970', '974', '412']
['837', '996', '277', '206', '546', '730', '948', '441', '914', '699', '950', '529', '88', '866', '190', '927', '945', '466', '935', '485', '84', '457', '301', '723', '786', '601', '956', '673', '519', '562', '718', '167', '341', '804', '463', '72', '118', '604', '533', '941', '607', '61', '151', '8', '545', '114', '531', '48', '0', '639']
['28', '370', '69', '564', '309', '911', '770', '146', '600', '849', '25', '244', '585', '389', '517', '687', '732', '471', '923', '3', '853', '284', '468', '569', '993', '501', '832', '731', '661', '313', '742', '685', '888', '131', '592', '820', '443', '304', '663', '225', '232', '917', '839', '754', '640', '383', '318', '955', '257', '985']
