['368', '526', '268', '93', '567', '389']
['291', '477', '577', '452', '183', '46']
['492', '293', '238', '650', '246', '683']
['697', '653', '532', '359', '529', '371']
['433', '133', '507', '407', '218', '417']
['579', '59', '718', '391', '254', '597']
['614', '235', '596', '121', '345', '4']
['420', '5', '408', '599', '323', '174']
['206', '411', '605', '243', '464', '265']
['177', '457', '25', '276', '428', '463']
['629', '65', '333', '2', '406', '86']
['162', '221', '297', '14', '632', '226']
['488', '49', '511', '119', '54', '700']
['350', '112', '96', '281', '146', '392']
['357', '404', '61', '437', '284', '92']
['715', '654', '304', '209', '451', '478']
['28', '410', '234', '620', '196', '412']
['110', '557', '628', '514', '584', '126']
['232', '668', '710', '626', '242', '547']
['343', '570', '489', '378', '691', '540']
['149', '486', '131', '438', '669', '115']
['484', '381', '679', '114', '231', '362']
['211', '267', '151', '36', '421', '527']
['338', '405', '384', '622', '705', '652']
['681', '663', '31', '496', '256', '130']
['698', '296', '644', '539', '585', '153']
['409', '580', '685', '475', '576', '106']
['363', '205', '641', '377', '467', '561']
['485', '225', '69', '42', '148', '18']
['525', '331', '278', '26', '255', '230']
['379', '62', '223', '695', '68', '436']
['427', '66', '80', '306', '111', '551']
['707', '337', '453', '432', '6', '55']
['709', '589', '361', '671', '374', '141']
['220', '665', '504', '140', '598', '322']
['11', '450', '370', '508', '346', '522']
['117', '168', '122', '272', '490', '471']
['591', '548', '355', '623', '317', '300']
['95', '659', '618', '170', '664', '462']
['17', '98', '33', '190', '120', '72']
['222', '348', '501', '588', '429', '273']
['562', '552', '680', '714', '711', '139']
['109', '100', '57', '621', '616', '466']
['625', '640', '670', '443', '245', '503']
['635', '422', '592', '295', '627', '638']
['372', '241', '476', '7', '316', '639']
['227', '336', '465', '571', '419', '258']
['187', '479', '70', '167', '335', '180']
['572', '208', '678', '675', '342', '280']
['81', '676', '309', '75', '311', '608']
['214', '303', '458', '144', '145', '430']
['533', '108', '445', '201', '51', '431']
['538', '270', '460', '418', '600', '424']
['32', '593', '394', '105', '90', '332']
['565', '356', '439', '648', '687', '219']
['666', '491', '388', '203', '260', '559']
['298', '37', '563', '312', '334', '288']
['78', '390', '383', '247', '244', '186']
['610', '719', '21', '79', '537', '158']
['344', '510', '53', '166', '248', '449']
['212', '440', '662', '515', '157', '118']
['237', '447', '509', '667', '60', '581']
['364', '423', '373', '204', '435', '262']
['587', '192', '229', '83', '164', '400']
['9', '184', '393', '677', '645', '107']
['199', '176', '314', '693', '89', '147']
['324', '34', '672', '516', '369', '347']
['398', '480', '101', '94', '327', '483']
['689', '135', '82', '253', '716', '99']
['582', '712', '702', '524', '275', '604']
['586', '328', '172', '287', '251', '0']
['289', '554', '534', '8', '340', '257']
['154', '249', '73', '651', '397', '425']
['474', '521', '181', '494', '71', '39']
['261', '607', '498', '642', '137', '703']
['277', '85', '250', '612', '382', '263']
['213', '308', '136', '542', '568', '224']
['217', '699', '434', '413', '52', '661']
['637', '481', '375', '523', '47', '531']
['64', '132', '74', '473', '358', '365']
['259', '564', '399', '307', '138', '385']
['179', '528', '444', '142', '692', '696']
['590', '631', '366', '454', '611', '354']
['128', '283', '558', '67', '200', '123']
['633', '380', '396', '236', '233', '602']
['63', '456', '330', '27', '103', '402']
['713', '541', '24', '310', '279', '305']
['546', '12', '519', '341', '536', '595']
['3', '461', '601', '189', '530', '339']
['320', '499', '216', '315', '29', '40']
['560', '643', '282', '376', '150', '104']
['22', '549', '38', '198', '125', '543']
['299', '319', '603', '88', '252', '706']
['178', '191', '143', '56', '159', '517']
['264', '1', '160', '395', '127', '215']
['617', '161', '163', '10', '630', '401']
['84', '274', '636', '415', '165', '506']
['459', '674', '686', '318', '684', '329']
['550', '353', '387', '573', '44', '717']
['58', '87', '285', '442', '349', '583']
['624', '102', '321', '615', '555', '660']
['313', '76', '91', '175', '169', '271']
['155', '414', '566', '469', '41', '77']
['535', '518', '193', '682', '574', '360']
['156', '493', '694', '23', '649', '171']
['294', '647', '210', '188', '416', '688']
['15', '301', '207', '658', '43', '50']
['30', '619', '553', '19', '505', '240']
['655', '182', '656', '708', '426', '173']
['152', '441', '228', '352', '657', '701']
['351', '470', '326', '97', '194', '575']
['613', '290', '502', '497', '673', '594']
['197', '690', '302', '495', '116', '606']
['646', '292', '520', '556', '286', '20']
['704', '448', '13', '468', '195', '367']
['482', '544', '129', '269', '202', '48']
['634', '500', '569', '35', '578', '325']
['16', '386', '113', '185', '513', '239']
['487', '545', '512', '609', '134', '455']
['472', '403', '266', '124', '45', '446']
