['837', '328', '954', '434', '282', '405', '803', '858', '849', '698', '734', '853', '101', '283', '400', '665', '430', '147', '12', '125', '758', '164', '349', '642', '130', '774', '342', '877', '925', '392', '838']
['441', '194', '146', '772', '44', '552', '723', '854', '468', '493', '860', '41', '165', '324', '32', '249', '110', '671', '558', '943', '628', '893', '155', '304', '941', '791', '917', '85', '132', '358', '200']
['496', '91', '242', '431', '9', '812', '352', '439', '884', '507', '761', '516', '598', '748', '933', '393', '231', '279', '611', '896', '656', '676', '490', '82', '938', '669', '514', '142', '77', '875', '859']
['33', '940', '658', '576', '908', '902', '471', '526', '363', '566', '457', '827', '286', '260', '307', '252', '429', '176', '187', '497', '799', '221', '729', '693', '881', '891', '197', '726', '114', '20', '703']
['819', '308', '93', '166', '78', '634', '918', '422', '700', '922', '627', '255', '702', '374', '145', '692', '815', '192', '198', '188', '828', '787', '736', '804', '152', '480', '879', '218', '892', '931', '525']
['948', '635', '13', '913', '543', '134', '438', '920', '43', '680', '953', '160', '163', '335', '694', '501', '195', '907', '298', '223', '406', '551', '904', '273', '533', '232', '250', '599', '14', '51', '664']
['653', '37', '874', '651', '687', '433', '724', '674', '601', '711', '407', '864', '688', '23', '808', '450', '492', '589', '83', '509', '536', '919', '239', '240', '158', '217', '74', '104', '557', '367', '852']
['610', '544', '755', '789', '16', '212', '927', '157', '696', '735', '102', '294', '398', '235', '314', '788', '456', '447', '798', '89', '220', '59', '863', '929', '515', '449', '663', '225', '193', '780', '608']
['321', '40', '25', '906', '350', '586', '479', '373', '814', '832', '196', '6', '330', '609', '67', '26', '825', '868', '503', '261', '595', '442', '737', '19', '386', '593', '960', '640', '636', '915', '594']
['747', '461', '133', '175', '266', '739', '512', '650', '732', '347', '22', '381', '648', '949', '616', '55', '865', '937', '63', '921', '113', '443', '909', '127', '72', '117', '227', '816', '686', '498', '620']
['508', '899', '265', '385', '923', '178', '122', '460', '1', '109', '464', '713', '408', '571', '396', '685', '769', '883', '278', '7', '550', '208', '481', '156', '607', '315', '394', '505', '632', '743', '0']
['338', '654', '579', '269', '768', '377', '416', '288', '843', '792', '818', '274', '872', '2', '677', '876', '535', '100', '691', '712', '934', '275', '50', '757', '538', '765', '901', '75', '556', '136', '522']
['730', '912', '287', '721', '866', '56', '944', '86', '945', '822', '833', '633', '205', '228', '459', '226', '45', '565', '534', '131', '435', '138', '322', '637', '563', '427', '73', '124', '415', '955', '795']
['409', '926', '596', '54', '375', '141', '802', '862', '750', '284', '523', '4', '316', '71', '64', '704', '777', '108', '718', '590', '539', '764', '800', '34', '619', '52', '281', '236', '107', '547', '257']
['241', '851', '829', '238', '247', '120', '630', '204', '790', '440', '478', '259', '520', '333', '189', '652', '306', '262', '499', '647', '437', '570', '121', '621', '401', '796', '740', '689', '625', '295', '531']
['952', '5', '69', '911', '575', '475', '339', '583', '811', '486', '763', '270', '472', '413', '291', '495', '428', '224', '329', '436', '87', '888', '143', '766', '626', '890', '488', '293', '229', '476', '542']
['631', '801', '243', '389', '348', '521', '116', '773', '673', '397', '42', '462', '840', '830', '820', '258', '426', '10', '527', '402', '697', '678', '641', '878', '582', '418', '57', '318', '360', '60', '412']
['154', '572', '894', '733', '423', '489', '813', '529', '577', '751', '345', '745', '487', '886', '353', '870', '760', '519', '144', '30', '592', '382', '793', '624', '754', '384', '364', '296', '708', '180', '446']
['741', '699', '770', '682', '882', '797', '467', '956', '867', '672', '759', '469', '805', '779', '554', '299', '202', '233', '319', '70', '645', '341', '597', '946', '183', '361', '168', '541', '161', '895', '80']
['357', '836', '548', '950', '297', '191', '203', '574', '417', '794', '419', '701', '683', '313', '213', '562', '372', '292', '831', '343', '746', '169', '325', '916', '368', '871', '465', '603', '942', '889', '48']
['510', '841', '959', '605', '215', '186', '559', '123', '880', '351', '615', '885', '311', '280', '39', '167', '662', '513', '617', '380', '573', '714', '545', '253', '378', '365', '939', '738', '159', '139', '18']
['403', '771', '644', '362', '809', '767', '540', '216', '722', '237', '376', '323', '695', '388', '602', '111', '661', '267', '179', '334', '821', '214', '344', '211', '151', '29', '209', '234', '207', '578', '660']
['290', '36', '807', '782', '369', '174', '477', '517', '584', '947', '58', '230', '842', '587', '957', '727', '506', '532', '289', '38', '445', '454', '317', '706', '379', '199', '614', '560', '172', '248', '94']
['206', '482', '546', '561', '458', '420', '869', '84', '453', '898', '411', '855', '667', '752', '638', '90', '148', '305', '251', '848', '846', '817', '810', '649', '246', '97', '256', '421', '778', '844', '639']
