['730', '635', '755', '618', '600', '529', '186', '376', '99', '264', '220', '63', '210', '589', '233', '639', '72', '706', '379', '149', '607', '560', '85', '312', '19', '82', '150', '679', '778', '540', '77', '446']
['741', '328', '441', '785', '575', '44', '466', '696', '353', '228', '101', '135', '473', '144', '255', '469', '39', '59', '448', '289', '268', '432', '609', '402', '624', '161', '619', '593', '582', '207', '415', '743']
['546', '13', '133', '54', '423', '266', '771', '650', '58', '294', '711', '323', '530', '688', '170', '106', '260', '683', '213', '95', '267', '179', '705', '167', '515', '62', '208', '678', '622', '73', '358', '94']
['646', '370', '182', '496', '782', '78', '362', '9', '613', '301', '670', '462', '112', '176', '718', '497', '143', '787', '7', '239', '275', '614', '765', '511', '172', '384', '65', '236', '726', '75', '80', '140']
['11', '753', '212', '297', '331', '762', '369', '398', '587', '439', '761', '672', '569', '612', '55', '343', '445', '131', '558', '611', '46', '617', '533', '152', '744', '156', '490', '640', '250', '136', '514', '367']
['770', '416', '153', '745', '420', '351', '205', '566', '404', '122', '419', '1', '397', '23', '31', '324', '299', '319', '592', '628', '240', '304', '296', '676', '281', '775', '599', '394', '632', '159', '360', '594']
['654', '129', '37', '655', '502', '309', '175', '721', '120', '230', '767', '552', '235', '272', '226', '524', '701', '38', '223', '26', '642', '463', '138', '354', '757', '629', '480', '427', '390', '383', '74', '795']
['543', '33', '276', '288', '584', '574', '474', '684', '722', '291', '21', '759', '307', '89', '147', '562', '188', '278', '527', '435', '273', '344', '659', '336', '47', '738', '48', '556', '257', '139', '0', '18']
['357', '610', '222', '653', '409', '24', '166', '596', '631', '751', '487', '84', '453', '677', '452', '374', '4', '372', '12', '356', '349', '799', '539', '551', '325', '53', '737', '573', '391', '567', '180', '547']
['17', '489', '134', '772', '56', '242', '471', '485', '22', '178', '456', '119', '160', '702', '90', '219', '777', '565', '668', '249', '492', '685', '254', '92', '793', '227', '641', '442', '293', '531', '392', '604']
['194', '69', '375', '146', '749', '577', '385', '3', '381', '352', '284', '413', '516', '752', '245', '501', '430', '450', '326', '408', '258', '393', '334', '169', '774', '49', '637', '643', '197', '107', '703', '126']
['548', '40', '43', '478', '633', '216', '237', '523', '283', '627', '495', '388', '615', '310', '436', '499', '647', '113', '251', '693', '796', '401', '261', '740', '689', '781', '355', '151', '256', '318', '51', '412']
['579', '277', '206', '549', '747', '377', '561', '103', '776', '347', '141', '274', '422', '798', '727', '519', '692', '262', '483', '518', '30', '70', '110', '491', '225', '209', '104', '395', '248', '522', '608', '105']
['414', '405', '287', '302', '682', '88', '244', '537', '583', '526', '433', '797', '601', '648', '400', '224', '252', '125', '67', '712', '729', '130', '183', '368', '214', '232', '656', '193', '8', '620', '60', '327']
['177', '482', '247', '190', '658', '477', '204', '173', '559', '163', '428', '335', '311', '616', '280', '535', '32', '675', '81', '534', '246', '127', '425', '488', '168', '184', '697', '421', '35', '263', '748', '660']
['320', '285', '508', '461', '768', '500', '475', '371', '588', '431', '96', '314', '387', '507', '447', '521', '201', '695', '333', '116', '638', '555', '305', '426', '662', '231', '97', '199', '708', '780', '185', '455']
['28', '510', '580', '666', '27', '644', '157', '417', '440', '735', '794', '373', '464', '306', '451', '41', '137', '171', '15', '181', '6', '766', '399', '341', '382', '595', '719', '155', '380', '340', '378', '14']
['269', '720', '789', '605', '458', '79', '438', '339', '345', '576', '389', '687', '472', '568', '195', '713', '292', '198', '330', '716', '691', '626', '279', '503', '118', '449', '505', '342', '636', '504', '200', '578']
['154', '699', '434', '564', '732', '734', '724', '553', '348', '45', '602', '506', '429', '590', '164', '100', '728', '443', '317', '406', '300', '581', '158', '538', '34', '29', '714', '229', '295', '66', '68', '20']
['321', '337', '308', '282', '238', '651', '366', '652', '109', '2', '411', '468', '773', '42', '665', '316', '87', '681', '532', '437', '162', '570', '671', '10', '536', '361', '625', '470', '690', '218', '165', '525']
['783', '410', '444', '585', '265', '790', '698', '460', '700', '673', '329', '196', '715', '108', '192', '746', '769', '736', '649', '271', '513', '791', '550', '541', '132', '364', '725', '359', '124', '542', '557', '784']
['544', '5', '290', '739', '623', '630', '86', '591', '363', '680', '788', '270', '189', '479', '667', '286', '148', '731', '71', '661', '554', '202', '83', '128', '509', '221', '454', '663', '465', '545', '365', '115']
['707', '572', '93', '733', '203', '792', '215', '634', '350', '586', '457', '763', '467', '760', '145', '598', '64', '704', '121', '597', '709', '117', '217', '481', '303', '476', '57', '114', '756', '664', '111', '606']
['338', '241', '36', '91', '98', '346', '243', '174', '191', '517', '123', '102', '259', '674', '407', '493', '694', '298', '187', '571', '396', '494', '322', '50', '717', '61', '315', '52', '386', '603', '253', '657']
['403', '16', '528', '512', '25', '750', '76', '459', '486', '723', '786', '520', '313', '779', '742', '710', '758', '645', '621', '764', '424', '332', '211', '484', '754', '563', '686', '498', '418', '234', '669', '142']
