['714', '166', '110']
['876', '642', '442']
['588', '261', '4']
['368', '373', '663']
['709', '634', '781']
['286', '188', '481']
['720', '467', '840']
['197', '952', '345']
['379', '309', '195']
['833', '835', '83']
['114', '688', '301']
['719', '64', '743']
['167', '762', '655']
['151', '346', '951']
['374', '359', '772']
['439', '381', '825']
['987', '326', '739']
['169', '644', '640']
['186', '694', '120']
['34', '849', '839']
['740', '479', '668']
['662', '721', '524']
['554', '438', '494']
['90', '414', '597']
['413', '455', '143']
['515', '269', '245']
['511', '24', '290']
['42', '872', '892']
['485', '903', '2']
['243', '294', '484']
['616', '130', '512']
['647', '214', '577']
['737', '933', '909']
['401', '148', '557']
['904', '899', '525']
['920', '733', '669']
['495', '691', '63']
['480', '646', '884']
['321', '549', '792']
['460', '711', '385']
['204', '93', '250']
['543', '19', '59']
['791', '545', '706']
['533', '74', '696']
['583', '103', '816']
['31', '147', '139']
['396', '56', '748']
['922', '544', '887']
['447', '874', '434']
['21', '198', '264']
['889', '145', '17']
['182', '505', '863']
['185', '44', '231']
['593', '60', '972']
['759', '784', '105']
['340', '820', '75']
['900', '232', '935']
['578', '503', '918']
['670', '531', '441']
['864', '432', '823']
['36', '302', '623']
['177', '215', '639']
['787', '969', '944']
['161', '388', '658']
['40', '725', '811']
['940', '450', '365']
['518', '357', '324']
['422', '513', '660']
['85', '912', '69']
['888', '291', '976']
['33', '867', '815']
['620', '156', '845']
['449', '652', '715']
['296', '493', '508']
['649', '753', '994']
['94', '489', '858']
['262', '780', '684']
['928', '458', '676']
['308', '886', '848']
['984', '582', '563']
['329', '109', '454']
['49', '38', '146']
['945', '205', '902']
['65', '966', '975']
['645', '830', '256']
['865', '470', '183']
['402', '729']
['998', '700', '408']
['279', '506', '471']
['956', '638', '822']
['579', '433', '763']
['981', '331', '20']
['222', '519', '979']
['657', '712', '55']
['768', '304', '178']
['723', '107', '560']
['314', '521', '596']
['630', '897', '411']
['760', '538', '501']
['978', '710', '274']
['82', '931', '618']
['535', '26', '196']
['983', '692', '180']
['953', '854', '592']
['317', '443', '611']
['240', '708', '201']
['977', '152', '73']
['853', '132', '546']
['476', '490', '875']
['337', '504', '604']
['707', '266', '228']
['320', '713', '54']
['416', '551', '914']
['393', '826', '275']
['783', '559', '541']
['121', '497', '996']
['249', '273', '210']
['213', '79', '404']
['344', '272', '112']
['624', '72', '587']
['726', '199', '46']
['207', '650', '841']
['492', '701', '717']
['193', '795', '174']
['704', '786', '548']
['778', '536', '963']
['789', '852', '253']
['154', '312', '278']
['251', '682', '530']
['562', '728', '18']
['87', '52', '973']
['351', '569', '12']
['254', '415', '68']
['372', '453', '457']
['598', '276', '187']
['689', '475', '473']
['378', '750', '436']
['247', '341', '53']
['862', '11', '523']
['285', '590', '194']
['895', '370', '96']
['622', '732', '659']
['992', '807', '756']
['463', '575', '926']
['3', '45', '135']
['600', '667', '509']
['580', '334', '540']
['555', '836', '594']
['101', '350', '200']
['632', '409', '339']
['802', '574', '615']
['451', '164', '267']
['410', '824', '48']
['749', '144', '898']
['561', '961', '957']
['941', '219', '699']
['697', '797', '170']
['203', '980', '483']
['305', '698', '430']
['929', '78', '947']
['690', '991', '808']
['910', '466', '498']
['610', '360', '158']
['47', '104', '539']
['625', '487', '905']
['125', '371', '595']
['962', '5', '522']
['907', '775', '532']
['950', '316', '794']
['211', '526', '812']
['327', '209', '202']
['946', '394', '468']
['384', '942', '796']
['124', '520', '171']
['352', '280', '901']
['134', '949', '913']
['517', '674', '239']
['923', '773', '547']
['502', '223', '138']
['856', '88', '736']
['395', '499', '355']
['175', '328', '954']
['602', '342', '258']
['343', '16', '136']
['387', '605', '866']
['192', '860', '238']
['930', '529', '28']
['767', '23', '838']
['137', '81', '281']
['349', '621', '477']
['149', '322', '934']
['165', '855', '844']
['191', '119', '226']
['306', '564', '435']
['571', '877', '448']
['859', '380', '881']
['664', '971', '687']
['626', '939', '999']
['356', '461', '392']
['113', '800', '965']
['718', '97', '150']
['673', '335', '955']
['142', '325', '123']
['779', '298', '323']
['609', '552', '50']
['400', '208', '230']
['776', '15', '30']
['730', '163', '678']
['813', '98', '70']
['873', '724', '809']
['122', '806', '51']
['179', '727', '793']
['788', '423', '244']
['303', '651', '429']
['799', '982', '37']
['774', '744', '418']
['514', '348', '375']
['313', '8', '755']
['550', '703', '997']
['236', '259', '861']
['311', '741', '960']
['469', '319', '754']
['810', '241', '680']
['576', '842', '906']
['818', '299', '769']
['938', '798', '100']
['221', '237', '974']
['803', '565', '832']
['869', '556', '885']
['821', '584', '257']
['162', '397', '157']
['284', '390', '656']
['399', '217', '255']
['896', '528', '851']
['752', '464', '77']
['22', '925', '99']
['57', '233', '361']
['619', '86', '446']
['420', '13', '871']
['613', '893', '425']
['908', '417', '1']
['847', '428', '407']
['118', '637', '347']
['465', '14', '790']
['282', '801', '289']
['766', '764', '917']
['496', '176', '366']
['427', '89', '419']
['155', '181', '510']
['834', '386', '66']
['406', '782', '731']
['967', '631', '242']
['106', '398', '332']
['722', '67', '635']
['636', '300', '500']
['829', '734', '216']
['426', '705', '758']
['837', '964', '452']
['534', '568', '288']
['389', '270', '585']
['9', '173', '377']
['735', '293', '542']
['695', '785', '437']
['586', '212', '61']
['627', '364', '25']
['617', '7', '817']
['653', '29', '10']
['643', '218', '234']
['336', '681', '968']
['472', '654', '488']
['573', '117', '424']
['172', '220', '310']
['537', '666', '959']
['140', '383', '39']
['358', '43', '283']
['263', '936', '911']
['591', '570', '828']
['277', '287', '431']
['184', '599', '603']
['671', '403', '444']
['686', '567', '382']
['297', '880', '919']
['827', '115', '268']
['581', '986', '883']
['421', '558', '932']
['246', '353', '747']
['612', '702', '693']
['131', '391', '330']
['227', '958', '868']
['248', '168', '745']
['116', '566', '608']
['76', '916', '814']
['804', '943', '672']
['716', '879', '367']
['307', '882', '91']
['354', '6']
['985', '224', '648']
['58', '894', '679']
['318', '271', '412']
['159', '225', '685']
['127', '32', '805']
['292', '189', '478']
['235', '35', '927']
['0', '915', '527']
['751', '474', '924']
['970', '641', '948']
['206', '362', '265']
['153', '71', '295']
['553', '27', '857']
['482', '491', '462']
['572', '777', '846']
['84', '633', '507']
['62', '252', '108']
['260', '878', '990']
['133', '665', '738']
['628', '376', '921']
['41', '141', '765']
['80', '126', '369']
['850', '819', '614']
['988', '445', '746']
['516', '111', '831']
['606', '601', '128']
['890', '333', '440']
['338', '92', '995']
['757', '742', '677']
['129', '761', '770']
['993', '870', '102']
['190', '629', '675']
['486', '456', '661']
['405', '891', '229']
['459', '315', '589']
['843', '95', '683']
['989', '363', '607']
['771', '160', '937']
