['5', '192', '505', '378', '632', '317', '239']
['289', '282', '492', '193', '69', '621', '230']
['545', '599', '104', '283', '185', '79', '585']
['499', '364', '648', '253', '6', '679', '638']
['84', '217', '635', '266', '516', '620', '616']
['550', '480', '16', '686', '623', '645', '174']
['546', '164', '66', '258', '531', '263', '186']
['357', '117', '363', '655', '523', '682', '190']
['87', '3', '422', '302', '501', '89', '608']
['668', '270', '250', '202', '41', '111', '215']
['368', '541', '161', '377', '121', '415', '688']
['351', '189', '233', '25', '455', '602', '127']
['350', '206', '375', '349', '306', '169', '660']
['277', '387', '580', '323', '395', '139', '366']
['633', '356', '676', '295', '691', '426', '203']
['518', '187', '281', '432', '391', '0', '158']
['296', '453', '2', '57', '444', '204', '219']
['659', '472', '303', '182', '593', '26', '335']
['566', '309', '128', '334', '555', '71', '46']
['478', '474', '473', '242', '142', '305', '424']
['62', '15', '396', '17', '423', '148', '126']
['637', '326', '656', '571', '131', '166', '612']
['603', '110', '393', '592', '451', '138', '483']
['681', '343', '65', '543', '236', '14', '576']
['95', '12', '465', '489', '677', '388', '584']
['549', '613', '96', '229', '243', '515', '649']
['457', '212', '33', '134', '116', '389', '429']
['324', '119', '91', '507', '201', '583', '639']
['216', '512', '695', '40', '358', '157', '440']
['58', '409', '194', '498', '371', '463', '513']
['697', '653', '675', '81', '359', '495', '402']
['168', '698', '646', '199', '292', '370', '399']
['610', '552', '38', '207', '73', '397', '341']
['535', '97', '614', '108', '631', '428', '50']
['680', '486', '188', '98', '88', '94', '271']
['64', '591', '272', '407', '672', '365', '471']
['562', '500', '67', '443', '438', '556', '23']
['178', '643', '24', '644', '551', '322', '425']
['151', '237', '167', '68', '524', '316', '606']
['184', '380', '32', '445', '100', '218', '493']
['301', '179', '502', '92', '416', '435', '446']
['689', '420', '554', '21', '120', '327', '392']
['308', '590', '609', '657', '577', '559', '99']
['198', '670', '626', '673', '475', '231', '525']
['129', '59', '532', '394', '10', '547', '170']
['9', '22', '31', '76', '228', '321', '666']
['663', '63', '427', '390', '238', '537', '522']
['381', '82', '439', '56', '597', '286', '20']
['403', '490', '257', '140', '503', '51', '661']
['49', '634', '241', '290', '13', '652', '696']
['245', '251', '75', '658', '339', '628', '60']
['313', '298', '11', '461', '589', '340', '195']
['379', '565', '553', '383', '373', '454', '374']
['624', '564', '107', '687', '280', '196', '604']
['533', '384', '223', '291', '288', '147', '105']
['510', '376', '536', '664', '145', '692', '581']
['586', '434', '336', '162', '460', '125', '115']
['304', '154', '441', '328', '113', '558', '430']
['320', '176', '596', '622', '150', '261', '449']
['690', '386', '504', '255', '382', '224', '431']
['617', '155', '208', '8', '7', '260', '436']
['102', '699', '437', '468', '234', '421', '297']
['225', '641', '156', '274', '538', '540', '347']
['414', '149', '570', '561', '346', '191', '417']
['205', '467', '627', '278', '615', '106', '611']
['344', '314', '175', '694', '144', '598', '123']
['572', '28', '293', '411', '114', '400', '574']
['654', '268', '284', '456', '287', '671', '605']
['485', '222', '232', '442', '146', '275', '385']
['484', '619', '348', '244', '630', '246', '360']
['337', '520', '447', '1', '109', '636', '307']
['177', '34', '647', '122', '491', '35', '325']
['213', '172', '352', '521', '667', '48', '669']
['573', '511', '685', '181', '557', '86', '43']
['355', '560', '101', '361', '45', '369', '39']
['544', '459', '252', '542', '78', '367', '171']
['487', '152', '450', '36', '497', '567', '401']
['527', '629', '70', '221', '226', '452', '118']
['53', '405', '267', '529', '103', '683', '240']
['214', '482', '563', '413', '83', '124', '180']
['372', '408', '618', '330', '136', '183', '354']
['526', '132', '640', '331', '650', '42', '332']
['470', '607', '220', '269', '235', '52', '342']
['294', '548', '315', '312', '479', '318', '329']
['211', '410', '249', '248', '469', '406', '141']
['259', '404', '80', '568', '310', '200', '514']
['353', '61', '85', '74', '163', '55', '412']
['579', '227', '135', '210', '77', '345', '72']
['481', '197', '160', '528', '651', '519', '18']
['398', '333', '530', '578', '173', '665', '262']
['264', '582', '569', '662', '462', '362', '594']
['338', '19', '600', '247', '47', '153', '4']
['112', '30', '678', '464', '254', '684', '517']
['299', '575', '143', '496', '311', '130', '466']
['625', '488', '433', '37', '509', '539', '90']
['587', '448', '209', '93', '54', '165', '588']
['508', '534', '133', '601', '27', '477', '300']
['419', '458', '693', '137', '279', '44', '273']
['674', '256', '418', '642', '494', '265', '506']
['285', '29', '319', '476', '276', '159', '595']
