['709', '869', '653', '32', '456', '460', '631', '700', '253', '609', '569', '860', '504', '638', '998', '80', '907', '616', '139', '692']
['102', '824', '822', '552', '499', '119', '618', '98', '166', '721', '6', '323', '432', '243', '939', '577', '933', '701', '78', '608']
['60', '862', '845', '285', '59', '312', '806', '505', '965', '973', '603', '516', '623', '600', '820', '234', '75', '902', '417', '385']
['217', '301', '894', '106', '871', '676', '314', '541', '391', '468', '441', '913', '114', '491', '388', '200', '583', '843', '731', '893']
['344', '488', '154', '213', '614', '37', '897', '829', '768', '685', '497', '281', '375', '828', '850', '877', '642', '136', '823', '875']
['734', '76', '290', '337', '737', '257', '250', '423', '708', '620', '772', '477', '585', '242', '556', '825', '584', '703', '252', '46']
['802', '87', '381', '656', '647', '437', '472', '758', '911', '523', '640', '854', '994', '919', '814', '265', '985', '576', '555', '876']
['518', '865', '774', '304', '470', '135', '914', '643', '786', '780', '359', '670', '444', '706', '231', '501', '621', '451', '778', '123']
['177', '698', '548', '573', '193', '309', '422', '302', '739', '682', '537', '940', '971', '325', '597', '970', '127', '158', '466', '838']
['277', '791', '540', '532', '863', '486', '112', '377', '272', '722', '652', '592', '128', '97', '107', '399', '144', '452', '317', '153']
['837', '222', '29', '554', '912', '188', '125', '202', '883', '100', '266', '779', '88', '162', '276', '146', '684', '90', '118', '171']
['625', '286', '152', '777', '781', '954', '63', '872', '192', '511', '199', '70', '509', '273', '729', '810', '776', '804', '882', '446']
['155', '741', '412', '370', '811', '788', '760', '960', '575', '999', '394', '531', '946', '727', '244', '51', '908', '665', '581', '429']
['996', '546', '641', '979', '457', '34', '235', '122', '223', '189', '209', '561', '514', '57', '371', '817', '111', '910', '639', '808']
['368', '767', '11', '818', '586', '978', '543', '507', '54', '705', '33', '982', '984', '393', '397', '163', '342', '925', '661', '717']
['206', '28', '678', '730', '963', '230', '566', '878', '1', '686', '110', '759', '25', '887', '195', '94', '280', '55', '392', '809']
['205', '668', '448', '870', '299', '418', '295', '167', '495', '651', '455', '903', '103', '539', '745', '86', '173', '551', '449', '0']
['610', '719', '350', '550', '3', '744', '675', '197', '789', '453', '595', '964', '662', '469', '650', '263', '271', '513', '478', '354']
['880', '269', '827', '282', '303', '732', '714', '333', '521', '291', '85', '950', '775', '848', '7', '536', '203', '204', '305', '904']
['58', '64', '414', '633', '208', '351', '538', '763', '765', '783', '410', '17', '798', '207', '890', '428', '557', '260', '987', '138']
['697', '49', '835', '363', '172', '718', '619', '132', '601', '236', '500', '512', '395', '445', '858', '438', '68', '336', '170', '196']
['535', '704', '659', '96', '646', '853', '38', '830', '164', '769', '627', '864', '334', '109', '494', '934', '23', '885', '906', '604']
['184', '259', '754', '746', '900', '957', '596', '921', '237', '473', '801', '221', '47', '626', '458', '443', '524', '430', '861', '660']
['420', '117', '398', '819', '220', '228', '926', '530', '671', '799', '297', '79', '782', '898', '915', '40', '630', '401', '800', '874']
['831', '735', '149', '129', '816', '613', '249', '663', '723', '19', '582', '390', '233', '251', '771', '45', '895', '821', '740', '525']
['750', '355', '289', '53', '674', '212', '349', '807', '374', '673', '602', '332', '980', '389', '664', '931', '215', '683', '126', '431']
['856', '757', '952', '294', '988', '805', '179', '81', '502', '352', '439', '599', '899', '942', '658', '669', '311', '873', '4', '44']
['654', '262', '681', '328', '176', '564', '534', '8', '992', '419', '928', '966', '787', '464', '341', '542', '137', '142', '367', '360']
['313', '689', '62', '815', '93', '447', '593', '528', '238', '113', '416', '421', '14', '185', '986', '813', '340', '27', '116', '612']
['591', '713', '168', '857', '326', '594', '95', '588', '474', '840', '261', '657', '226', '56', '693', '628', '920', '834', '440', '859']
['9', '930', '549', '508', '680', '24', '284', '909', '720', '590', '666', '795', '134', '382', '738', '41', '506', '792', '72', '881']
['715', '71', '379', '69', '13', '492', '733', '240', '407', '559', '726', '716', '849', '366', '18', '224', '522', '322', '916', '606']
['487', '380', '274', '587', '65', '690', '884', '256', '489', '258', '383', '605', '365', '993', '688', '255', '435', '995', '115', '425']
['387', '372', '896', '450', '404', '268', '755', '151', '356', '413', '386', '187', '770', '2', '580', '330', '567', '503', '832', '39']
['5', '241', '183', '635', '178', '924', '267', '465', '976', '229', '343', '679', '736', '967', '990', '615', '927', '279', '574', '275']
['482', '433', '481', '655', '977', '427', '287', '476', '648', '201', '846', '694', '702', '547', '42', '415', '762', '165', '327', '436']
['707', '983', '629', '753', '156', '937', '699', '376', '319', '121', '67', '932', '749', '855', '944', '346', '578', '945', '239', '141']
['562', '634', '836', '31', '842', '321', '161', '198', '181', '479', '345', '74', '529', '712', '519', '905', '568', '369', '180', '756']
['533', '891', '958', '961', '353', '30', '611', '841', '794', '270', '293', '83', '752', '667', '938', '120', '307', '246', '130', '77']
