['87', '890', '642', '327', '626']
['503', '662', '325', '96', '198']
['718', '900', '598', '487', '577']
['978', '609', '515', '158', '50']
['21', '197', '98', '732', '256']
['821', '405', '991', '973', '112']
['494', '142', '902', '240', '751']
['387', '320', '85', '635', '501']
['346', '529', '148', '383', '255']
['924', '234', '131', '717', '885']
['159', '738', '567', '532', '770']
['57', '521', '217', '760', '966']
['586', '869', '791', '834', '810']
['922', '182', '458', '435', '463']
['109', '493', '196', '457', '30']
['420', '620', '602', '621', '655']
['351', '749', '741', '272', '88']
['907', '742', '649', '975', '940']
['406', '880', '799', '370', '595']
['265', '439', '705', '743', '963']
['629', '591', '873', '22', '483']
['328', '632', '548', '608', '838']
['866', '859', '115', '715', '425']
['568', '235', '63', '6', '477']
['90', '833', '723', '916', '892']
['486', '190', '145', '229', '790']
['610', '982', '20', '241', '367']
['113', '992', '840', '205', '298']
['658', '776', '375', '915', '135']
['785', '324', '520', '470', '959']
['984', '134', '949', '183', '170']
['13', '213', '237', '835', '631']
['165', '247', '437', '32', '147']
['643', '153', '654', '680', '53']
['693', '254', '832', '708', '894']
['549', '26', '360', '341', '399']
['617', '352', '396', '5', '660']
['459', '177', '462', '730', '69']
['517', '31', '363', '110', '8']
['264', '218', '824', '469', '864']
['58', '65', '913', '771', '146']
['756', '725', '857', '995', '801']
['970', '296', '830', '7', '714']
['42', '384', '709', '769', '530']
['914', '192', '781', '860', '688']
['451', '116', '480', '638', '871']
['689', '233', '508', '72', '745']
['704', '398', '381', '342', '452']
['337', '544', '17', '220', '125']
['579', '312', '665', '496', '44']
['283', '354', '467', '428', '343']
['214', '955', '461', '528', '563']
['326', '534', '550', '513', '849']
['636', '102', '117', '847', '909']
['344', '297', '987', '622', '775']
['719', '657', '348', '587', '374']
['79', '122', '777', '740', '700']
['576', '891', '593', '778', '408']
['430', '397', '219', '878', '171']
['400', '557', '101', '105', '18']
['446', '488', '650', '160', '366']
['3', '379', '957', '772', '275']
['872', '578', '729', '335', '361']
['779', '502', '333', '126', '976']
['491', '365', '877', '831', '990']
['628', '424', '51', '382', '273']
['671', '246', '14', '565', '637']
['210', '204', '67', '415', '194']
['950', '121', '114', '123', '874']
['843', '720', '504', '243', '481']
['317', '350', '744', '169', '819']
['230', '988', '921', '244', '668']
['389', '334', '674', '202', '392']
['605', '547', '969', '104', '795']
['338', '531', '826', '180', '258']
['378', '677', '870', '419', '252']
['737', '179', '868', '768', '187']
['953', '281', '336', '280', '766']
['592', '84', '941', '556', '672']
['304', '59', '292', '108', '448']
['358', '313', '673', '679', '739']
['757', '558', '762', '948', '498']
['38', '261', '223', '536', '755']
['752', '651', '822', '721', '257']
['472', '971', '80', '12', '52']
['421', '86', '612', '759', '302']
['368', '716', '259', '29', '813']
['634', '889', '245', '39', '815']
['788', '184', '83', '944', '934']
['386', '380', '118', '61', '641']
['837', '803', '60', '174', '266']
