['49', '228', '16', '104', '2', '41', '124', '75', '42', '0']
['213', '235', '29', '237', '212', '33', '195', '139', '4', '126']
['155', '177', '160', '136', '45', '174', '244', '215', '186', '44']
['206', '81', '82', '1', '109', '88', '103', '144', '145', '89']
['205', '129', '85', '151', '181', '233', '248', '134', '120', '78']
['168', '176', '12', '161', '52', '190', '35', '7', '242', '231']
['95', '11', '119', '166', '21', '121', '14', '137', '60', '196']
['214', '241', '8', '23', '245', '159', '148', '72', '183', '141']
['169', '179', '209', '236', '73', '48', '111', '246', '55', '239']
['62', '38', '17', '54', '92', '113', '67', '224', '157', '99']
['192', '200', '223', '79', '115', '147', '203', '204', '142', '138']
['31', '152', '15', '232', '90', '101', '100', '243', '165', '105']
['117', '64', '225', '194', '249', '131', '185', '10', '56', '43']
['102', '156', '216', '162', '143', '164', '234', '150', '218', '68']
['227', '197', '133', '202', '70', '167', '221', '226', '86', '71']
['87', '220', '61', '63', '193', '65', '238', '25', '130', '118']
['3', '149', '182', '125', '98', '66', '201', '247', '114', '47']
['211', '222', '32', '217', '187', '76', '189', '27', '140', '106']
['9', '30', '172', '122', '229', '188', '91', '107', '163', '46']
['154', '37', '69', '108', '178', '36', '51', '173', '158', '230']
['112', '135', '210', '34', '83', '6', '80', '191', '94', '171']
['58', '5', '97', '175', '128', '40', '116', '153', '77', '240']
['22', '184', '84', '96', '28', '24', '198', '93', '207', '219']
['59', '53', '19', '146', '57', '26', '18', '170', '127', '39']
['208', '199', '13', '132', '74', '110', '180', '20', '123', '50']
