['137', '139', '251', '138', '135']
['230', '233', '232', '231', '234']
['108', '107', '244', '109', '105']
['182', '180', '116', '184', '183']
['65', '67', '69', '68', '66']
['210', '213', '214', '211', '212']
['148', '149', '145', '63', '242']
['179', '177', '175', '176', '178']
['254', '9', '8', '7', '5']
['235', '236', '74', '239', '238']
['132', '134', '133', '250', '95']
['31', '114', '181', '12', '11']
['90', '94', '92', '91', '93']
['249', '285', '253', '51', '136']
['193', '221', '223', '220', '224']
['185', '188', '189', '259', '187']
['282', '102', '103', '101', '100']
['172', '173', '171', '199', '174']
['24', '22', '20', '10', '23']
['49', '47', '205', '45', '48']
['277', '278', '30', '279', '275']
['294', '89', '292', '291', '290']
['161', '162', '163', '160', '164']
['32', '115', '78', '147', '75']
['151', '237', '112', '146', '262']
['13', '14', '186', '120', '264']
['207', '215', '218', '219', '217']
['41', '40', '43', '44', '42']
['81', '84', '82', '83', '80']
['265', '268', '269', '267', '170']
['165', '222', '168', '169', '167']
['225', '226', '229', '227', '228']
['140', '143', '142', '144', '141']
['21', '152', '266', '34', '257']
['111', '255', '130', '118', '240']
['247', '4', '77', '54', '216']
['166', '104', '293', '61', '2']
['281', '284', '206', '280', '283']
['191', '192', '190', '56', '194']
['58', '270', '272', '274', '273']
['106', '3', '0', '59', '110']
['98', '127', '129', '126', '128']
['286', '252', '288', '287', '289']
['203', '245', '200', '202', '46']
['197', '119', '62', '131', '208']
['29', '25', '26', '28', '27']
['121', '124', '271', '122', '123']
['117', '99', '241', '55', '6']
['246', '297', '296', '299', '295']
['113', '204', '298', '153', '76']
['256', '52', '125', '1', '53']
['73', '209', '243', '72', '150']
['57', '198', '60', '156', '71']
['64', '38', '36', '35', '39']
['97', '263', '50', '258', '70']
['201', '154', '276', '195', '33']
['248', '79', '261', '196', '37']
['159', '155', '260', '157', '158']
['85', '86', '88', '96', '87']
['16', '15', '17', '18', '19']
