['a375', 'a203', 'a304', 'a363', 'a44', 'a254', 'a149', 'a62', 'a312', 'a201', 'a48', 'a187', 'a202', 'a29', 'a52', 'a211', 'a204', 'a24', 'a175', 'a147']
['a325', 'a241', 'a193', 'a387', 'a323', 'a362', 'a105', 'a18', 'a71', 'a342', 'a27', 'a100', 'a145', 'a345', 'a219', 'a120', 'a234', 'a343', 'a37', 'a213']
['a337', 'a356', 'a328', 'a243', 'a20', 'a347', 'a124', 'a393', 'a137', 'a157', 'a128', 'a253', 'a309', 'a46', 'a185', 'a1', 'a199', 'a390', 'a238', 'a150']
['a156', 'a266', 'a286', 'a318', 'a161', 'a374', 'a98', 'a9', 'a296', 'a106', 'a302', 'a53', 'a138', 'a324', 'a371', 'a388', 'a140', 'a297', 'a35', 'a355']
['a192', 'a267', 'a294', 'a232', 'a316', 'a12', 'a176', 'a303', 'a391', 'a228', 'a68', 'a385', 'a55', 'a160', 'a279', 'a292', 'a218', 'a141', 'a205', 'a370']
['a220', 'a76', 'a293', 'a216', 'a272', 'a158', 'a352', 'a307', 'a265', 'a83', 'a38', 'a236', 'a81', 'a85', 'a244', 'a170', 'a230', 'a223', 'a87', 'a319']
['a130', 'a19', 'a129', 'a282', 'a7', 'a122', 'a288', 'a104', 'a283', 'a36', 'a207', 'a365', 'a144', 'a271', 'a111', 'a229', 'a159', 'a276', 'a245', 'a134']
['a26', 'a339', 'a359', 'a263', 'a191', 'a395', 'a336', 'a125', 'a4', 'a5', 'a142', 'a114', 'a224', 'a197', 'a329', 'a178', 'a78', 'a274', 'a34', 'a310']
['a115', 'a153', 'a99', 'a155', 'a358', 'a47', 'a331', 'a2', 'a50', 'a0', 'a75', 'a107', 'a136', 'a143', 'a392', 'a152', 'a372', 'a242', 'a6', 'a210']
['a69', 'a165', 'a22', 'a139', 'a95', 'a133', 'a251', 'a123', 'a269', 'a322', 'a301', 'a214', 'a313', 'a148', 'a222', 'a101', 'a172', 'a226', 'a389', 'a117']
['a377', 'a169', 'a57', 'a333', 'a154', 'a70', 'a31', 'a209', 'a257', 'a348', 'a103', 'a181', 'a59', 'a338', 'a94', 'a367', 'a118', 'a255', 'a151', 'a66']
['a109', 'a96', 'a89', 'a354', 'a326', 'a315', 'a314', 'a295', 'a379', 'a376', 'a40', 'a327', 'a396', 'a135', 'a380', 'a221', 'a39', 'a167', 'a340', 'a215']
['a281', 'a369', 'a127', 'a190', 'a177', 'a186', 'a131', 'a351', 'a92', 'a383', 'a88', 'a58', 'a90', 'a247', 'a102', 'a28', 'a14', 'a284', 'a237', 'a261']
['a394', 'a112', 'a72', 'a60', 'a330', 'a334', 'a183', 'a321', 'a289', 'a285', 'a108', 'a262', 'a298', 'a332', 'a173', 'a239', 'a113', 'a10', 'a206', 'a384']
['a357', 'a287', 'a56', 'a194', 'a17', 'a164', 'a264', 'a249', 'a67', 'a174', 'a364', 'a361', 'a246', 'a240', 'a250', 'a49', 'a291', 'a278', 'a168', 'a171']
['a65', 'a79', 'a182', 'a306', 'a280', 'a84', 'a353', 'a63', 'a344', 'a91', 'a248', 'a305', 'a180', 'a54', 'a398', 'a366', 'a378', 'a25', 'a335', 'a233']
['a43', 'a258', 'a110', 'a179', 'a273', 'a268', 'a116', 'a277', 'a200', 'a45', 'a235', 'a3', 'a163', 'a51', 'a41', 'a317', 'a15', 'a42', 'a275', 'a11']
['a32', 'a399', 'a225', 'a259', 'a256', 'a397', 'a300', 'a198', 'a132', 'a74', 'a184', 'a30', 'a381', 'a368', 'a93', 'a382', 'a386', 'a196', 'a77', 'a341']
['a119', 'a217', 'a260', 'a212', 'a73', 'a86', 'a166', 'a80', 'a299', 'a188', 'a320', 'a8', 'a64', 'a189', 'a308', 'a23', 'a349', 'a290', 'a270', 'a162']
['a121', 'a360', 'a195', 'a311', 'a208', 'a126', 'a82', 'a373', 'a16', 'a227', 'a61', 'a13', 'a33', 'a350', 'a231', 'a346', 'a97', 'a21', 'a146', 'a252']
