['129', '93', '91', '98', '134', '103', '153', '157', '123', '141', '101', '122', '119', '109', '116', '144', '170', '90', '106', '137', '148', '99', '87', '108', '162', '131', '159', '167', '121', '169', '127', '92', '118', '168', '152', '149', '151', '132', '124', '114', '107', '165', '111', '142', '115', '126', '105']
['414', '441', '409', '434', '410', '403', '375', '423', '416', '444', '438', '417', '431', '420', '433', '404', '422', '447', '407', '411', '376', '428', '400', '430', '429', '436', '450', '408', '437', '445', '432', '426', '401', '402', '435', '449', '424', '425', '368', '380', '427', '390', '418', '421', '365', '412', '446']
['139', '290', '282', '337', '133', '496', '287', '489', '120', '102', '96', '301', '135', '160', '163', '306', '145', '316', '95', '292', '289', '125', '299', '164', '100', '113', '110', '278', '494', '130', '138', '158', '117', '155', '488', '304', '97', '156', '161', '303', '296', '490', '293', '476', '498', '359', '94']
['241', '269', '302', '247', '243', '242', '265', '230', '294', '228', '235', '284', '272', '419', '255', '245', '260', '252', '262', '264', '267', '268', '497', '143', '233', '258', '251', '181', '231', '246', '271', '261', '275', '273', '227', '232', '312', '229', '236', '250', '256', '234', '248', '253', '281', '257', '263']
['154', '69', '54', '88', '56', '86', '78', '44', '58', '84', '76', '45', '41', '89', '55', '64', '112', '63', '59', '326', '81', '38', '83', '202', '128', '70', '67', '279', '72', '46', '50', '49', '62', '61', '53', '85', '65', '82', '74', '104', '66', '73', '57', '75', '68', '51', '60']
['277', '370', '405', '377', '175', '297', '371', '369', '174', '389', '173', '362', '385', '366', '363', '398', '381', '387', '413', '373', '397', '493', '388', '374', '147', '372', '176', '393', '399', '382', '406', '361', '379', '384', '364', '394', '383', '391', '386', '395', '378', '358', '415', '80', '360', '367', '392']
['177', '206', '222', '194', '182', '212', '190', '191', '204', '203', '186', '215', '205', '178', '216', '189', '201', '226', '195', '224', '219', '196', '213', '220', '187', '210', '192', '179', '198', '223', '188', '221', '183', '214', '211', '225', '184', '208', '199', '217', '197', '193', '209', '185', '207', '218', '200']
['338', '320', '328', '321', '308', '309', '331', '346', '339', '345', '347', '350', '351', '353', '314', '352', '348', '333', '323', '335', '310', '311', '307', '329', '305', '313', '324', '343', '356', '319', '330', '349', '334', '341', '317', '322', '325', '332', '344', '354', '355', '315', '336', '342', '340', '318', '327']
['285', '482', '461', '166', '458', '475', '477', '440', '478', '471', '487', '485', '466', '474', '457', '486', '459', '456', '453', '439', '460', '479', '473', '467', '472', '468', '464', '469', '452', '451', '462', '483', '298', '448', '443', '491', '454', '463', '470', '484', '480', '481', '442', '172', '465', '455', '180']
['11', '5', '28', '37', '13', '24', '36', '16', '17', '33', '40', '27', '79', '25', '43', '9', '3', '22', '1', '2', '21', '23', '42', '4', '71', '39', '31', '15', '32', '30', '12', '6', '26', '7', '10', '34', '29', '8', '52', '19', '47', '14', '35', '48', '20', '77', '18']
['357', '146', '238', '266', '276', '244', '288', '259', '274', '270', '237', '291', '283', '495', '286', '280', '171', '499', '249', '492', '396', '254', '300', '239', '240', '150', '295', '136', '140']
