['C36', 'D36', 'A36']
['D50', 'A50', 'B50']
['D11', 'E11', 'C11']
['D35', 'B35', 'A35']
['57', '47', '54']
['42', '45', '48']
['E49', 'G49', 'H49']
['F18', 'D18', 'A18']
['E12', 'F12', 'A12']
['G7', 'F7', 'E7']
['B8', 'A8', 'D8']
['H50', 'E50', 'F50']
['G27', 'E27', 'H27']
['D4', 'A4', 'C4']
['H13', 'E14', 'H14']
['E5', 'G5', 'F5']
['G15', 'C54', 'E15']
['G54', 'A11', 'C50']
['H41', 'F41', 'E41']
['B47', 'B3', 'D3']
['G42', 'G9', 'E42']
['D40', 'B40', 'A40']
['40', '36', '50']
['B34', 'A34', 'D34']
['A48', 'C48', 'F48']
['E9', 'H9', 'H10']
['3', '19', '23']
['H43', 'H44', 'E44']
['D10', 'B10', 'A10']
['H8', 'E8', 'G8']
['A33', 'D33', 'B33']
['B5', 'C5', 'A5']
['H47', 'E47', 'H48']
['C37', 'F6', 'D21']
['D9', 'B9', 'A9']
['B52', 'H40', 'F9']
['C0', 'D0', 'C1']
['G12', '31', 'F44']
['F25', 'E25', 'D15']
['24', '9', '7']
['E51', 'F51', 'G51']
['F16', 'E16', 'G16']
['A39', 'C39', 'D39']
['51', '56', '46']
['A52', 'C53', 'C52']
['D48', 'F52', 'G52']
['H53', 'H54', 'E53']
['H16', 'G47', 'H15']
['B15', 'A15', 'F15']
['C24', 'B24', 'A24']
['C32', 'C33', 'D32']
['E13', 'F13', 'G13']
['21', '0', '2']
['F43', 'A43', 'E43']
['F17', 'E17', 'D1']
['E0', 'F0', 'A0']
['E35', 'F36', 'G35']
['11', '22', '18']
['G23', 'E23', 'D23']
['5', '29', '20']
['B1', 'A16', 'D16']
['B42', 'D41', 'D42']
['D37', 'B37', 'A37']
['52', '35', '33']
['F54', 'G2', 'B48']
['G48', 'G50', 'E48']
['E26', 'G26', 'F26']
['C19', 'D19', 'A19']
['B39', 'G45', 'A54']
['D38', 'B38', 'A38']
['A22', 'D22', 'B22']
['B25', 'A25', 'D25']
['H23', 'F31', 'H7']
['49', 'F8', 'D26']
['41', '34', '53']
['E31', 'H31', 'H32']
['A51', 'C51', 'D51']
['A20', 'F20', 'E20']
['A13', 'B13', '39']
['H20', 'C18', 'E37']
['H5', 'H6', 'B19']
['D27', 'C27', 'A27']
['D12', 'C12', 'B12']
['26', '17', '6']
['E29', 'B20', 'F39']
['C13', 'B46', 'D13']
['D24', 'F27', 'B43']
['E21', 'F21', 'G21']
['C42', 'F42', 'A42']
['D44', 'C44', 'C45']
['D28', 'A28', 'B28']
['G37', 'A21', 'B4']
['F33', 'F24', 'E24']
['C16', 'F28', 'C17']
['H28', '55', 'E28']
['C26', 'A26', 'B26']
['58', '43', '44']
['G38', 'F38', 'E38']
['F2', 'A2', 'E2']
['13', '28', '4']
['B53', 'D53', 'A53']
['D49', 'C49', 'A49']
['D30', 'B0', 'F29']
['A32', 'F32', 'E32']
['E22', 'F22', 'G22']
['25', '8', '12']
['H24', 'G31', 'F49']
['E18', 'H18', 'G18']
['E45', 'G29', 'F11']
['G3', 'E3', 'H3']
['E34', 'G34', '59']
['27', '10', '15']
['E10', 'F10', 'C14']
['H2', 'G53', 'H1']
['C29', 'C28', 'G28']
['F1', 'E1', 'A1']
['C23', 'A23', 'C22']
['B11', 'A44', 'H42']
['C47', 'D47', 'A47']
['E39', 'G39', 'H39']
['38', 'G10', 'A7']
['F34', 'B27', 'D52']
['H12', 'H11']
['E33', 'H34', 'H33']
['D17', 'B17', 'A17']
['B23', 'G41', 'D43']
['G17', 'A3', 'F3']
['C20', 'C21', 'D20']
['C43', 'B51', 'B21']
['H30', 'D6', 'B6']
['C9', 'C8', 'D7']
['B14', 'A14', 'D14']
['H25', 'F47', 'H26']
['G40', 'E40', 'F40']
['B45', 'A45', 'F45']
['D54', 'B54', 'E54']
['F46', 'H19', 'G1']
['B2', 'D2', 'G11']
['F19', 'G20', 'B16']
['H17', 'B49', 'H0']
['C35', 'E36', 'F35']
['B32', 'G14', 'G25']
['32', '30', '37']
['C31', 'C30', 'A30']
['A46', 'C46', 'D46']
['B29', 'A29', 'D29']
['H35', 'B44', 'H36']
['B7', 'F23', 'C38']
['D5', 'H22', 'H21']
['E30', 'F30', 'G30']
['B36', 'H38', 'H37']
['F53', 'F14', 'C25']
['H51', 'H52', 'E52']
['14', '16', 'C15']
['G0', 'G33', '1']
['G6', 'H29', 'E6']
['C40', 'C41', 'A41']
['A6', 'G46', 'C34']
['C10', 'G44', 'G43']
['G36', 'C6', 'C7']
['D31', 'A31', 'B31']
['B18', 'B41', 'H4']
['G19', 'D45', 'E19']
['E4', 'G4', 'F4']
['E46', 'H46', 'H45']
['G24', 'B30', 'G32']
['C3', 'C2', 'F37']
