['a69', 'a65', 'a179', 'a164', 'a61', 'a137', 'a54', 'a68', 'a155', 'a66']
['a43', 'a95', 'a122', 'a91', 'a214', 'a64', 'a144', 'a101', 'a34', 'a93']
['a32', 'a186', 'a181', 'a189', 'a178', 'a21', 'a199', 'a183', 'a245', 'a150']
['a119', 'a115', 'a112', 'a124', 'a236', 'a4', 'a114', 'a230', 'a77', 'a117']
['a151', 'a50', 'a108', 'a157', 'a107', 'a160', 'a35', 'a237', 'a232', 'a233']
['a139', 'a149', 'a148', 'a145', 'a20', 'a120', 'a246', 'a143', 'a240', 'a147']
['a195', 'a194', 'a67', 'a212', 'a38', 'a30', 'a33', 'a37', 'a205', 'a134']
['a169', 'a165', 'a161', 'a45', 'a243', 'a174', 'a184', 'a163', 'a168', 'a238']
['a121', 'a76', 'a133', 'a187', 'a88', 'a3', 'a180', 'a185', 'a211', 'a223']
['a99', 'a241', 'a60', 'a98', 'a123', 'a18', 'a92', 'a131', 'a90', 'a14']
['a156', 'a154', 'a235', 'a106', 'a100', 'a75', 'a248', 'a152', 'a247', 'a159']
['a192', 'a57', 'a216', 'a16', 'a53', 'a36', 'a218', 'a229', 'a213', 'a210']
['a225', 'a132', 'a227', 'a222', 'a221', 'a224', 'a234', 'a226', 'a175', 'a182']
['a203', 'a208', 'a200', 'a83', 'a86', 'a202', 'a197', 'a204', 'a207', 'a206']
['a127', 'a31', 'a62', 'a9', 'a7', 'a63', 'a0', 'a2', 'a80', 'a6']
['a79', 'a26', 'a22', 'a89', 'a59', 'a136', 'a29', 'a28', 'a25', 'a162']
['a109', 'a17', 'a82', 'a103', 'a104', 'a8', 'a51', 'a102', 'a239', 'a146']
['a44', 'a47', 'a48', 'a201', 'a40', 'a41', 'a49', 'a55', 'a140', 'a42']
['a126', 'a177', 'a188', 'a172', 'a170', 'a173', 'a167', 'a39', 'a215', 'a171']
['a56', 'a209', 'a191', 'a249', 'a27', 'a23', 'a5', 'a46', 'a15', 'a24']
['a153', 'a72', 'a71', 'a73', 'a166', 'a231', 'a1', 'a58', 'a78', 'a74']
['a220', 'a84', 'a105', 'a176', 'a94', 'a142', 'a228', 'a52', 'a10', 'a70']
['a217', 'a110', 'a158', 'a116', 'a130', 'a85', 'a244', 'a111', 'a118', 'a135']
['a193', 'a19', 'a198', 'a12', 'a81', 'a128', 'a13', 'a190', 'a196', 'a11']
['a96', 'a129', 'a141', 'a125', 'a138', 'a219', 'a97', 'a242', 'a87', 'a113']
