['40', '215', '385', '471', '431', '274', '314', '119', '428', '264', '313', '213', '267', '258', '382', '332', '344', '232', '53', '253', '80', '115']
['129', '36', '212', '297', '103', '235', '419', '479', '189', '23', '170', '164', '399', '279', '130', '49', '217', '85', '312', '250', '94', '360']
['328', '175', '134', '25', '56', '153', '204', '123', '226', '90', '292', '30', '356', '202', '393', '251', '214', '184', '161', '107', '159', '139']
['28', '194', '93', '243', '174', '294', '178', '228', '387', '460', '160', '407', '41', '311', '451', '429', '254', '425', '209', '295', '421', '68']
['320', '444', '475', '366', '230', '255', '335', '329', '99', '249', '181', '231', '304', '227', '65', '364', '151', '465', '150', '248', '185', '318']
['321', '166', '331', '371', '477', '86', '22', '102', '433', '301', '237', '260', '148', '125', '110', '443', '480', '281', '236', '395', '378', '142']
['482', '461', '182', '146', '79', '186', '205', '398', '404', '397', '45', '195', '483', '12', '118', '427', '390', '229', '386', '383', '455', '140']
['357', '154', '37', '173', '3', '353', '135', '439', '333', '143', '341', '406', '271', '354', '46', '379', '442', '52', '207', '218', '75', '60']
['222', '409', '434', '410', '347', '351', '363', '457', '101', '430', '223', '349', '426', '401', '169', '273', '152', '208', '61', '384', '57', '359']
['177', '5', '375', '54', '369', '440', '381', '413', '473', '452', '137', '286', '305', '343', '198', '6', '158', '322', '29', '19', '104', '136']
['405', '438', '120', '339', '58', '459', '284', '348', '469', '252', '326', '32', '131', '83', '167', '10', '449', '424', '97', '358', '180', '165']
['276', '389', '96', '453', '106', '176', '289', '210', '445', '299', '188', '121', '435', '261', '380', '149', '296', '342', '73', '111', '263', '392']
['13', '24', '403', '309', '98', '238', '266', '244', '259', '270', '464', '55', '450', '220', '330', '113', '92', '211', '168', '62', '0', '20']
['269', '290', '88', '417', '376', '1', '283', '245', '4', '95', '268', '408', '233', '100', '128', '127', '275', '50', '368', '391', '418', '200']
['69', '282', '308', '242', '265', '203', '157', '43', '466', '9', '472', '122', '372', '38', '70', '300', '138', '156', '8', '74', '412', '105']
['370', '17', '91', '247', '190', '78', '84', '350', '373', '163', '374', '324', '15', '162', '278', '26', '402', '155', '199', '82', '476', '51']
['285', '241', '458', '474', '201', '219', '316', '179', '81', '432', '319', '317', '463', '172', '315', '197', '293', '340', '114', '415', '257', '18']
['206', '441', '423', '287', '346', '44', '447', '2', '116', '42', '280', '147', '89', '108', '221', '325', '72', '481', '355', '66', '35', '446']
['377', '133', '33', '27', '288', '478', '216', '467', '21', '388', '310', '400', '145', '462', '196', '298', '63', '448', '7', '117', '336', '303']
['277', '11', '337', '16', '362', '76', '456', '422', '468', '323', '436', '64', '112', '334', '454', '361', '225', '193', '34', '132', '47', '14']
['416', '191', '141', '420', '109', '411', '144', '327', '71', '262', '171', '31', '59', '187', '192', '246', '394', '234', '365', '48', '77', '126']
['338', '414', '302', '345', '352', '272', '291', '306', '224', '307', '39', '87', '437', '396', '67', '239', '240', '183', '470', '256', '124', '367']
