['380', '312', '309', '308', '479', '244', '145', '446']
['69', '228', '29', '498', '395', '393', '195', '360']
['337', '403', '209', '7', '242', '42', '44', '46']
['95', '324', '91', '419', '258', '452', '89', '126']
['294', '292', '290', '459', '296', '295', '288', '224']
['450', '122', '453', '349', '283', '56', '415', '18']
['274', '472', '235', '237', '6', '373', '307', '239']
['487', '285', '390', '386', '318', '388', '153', '20']
['149', '112', '151', '281', '248', '475', '144', '147']
['177', '414', '410', '445', '375', '342', '243', '276']
['357', '289', '456', '188', '287', '489', '221', '286']
['214', '213', '217', '220', '384', '17', '116', '219']
['304', '102', '269', '267', '272', '234', '266', '436']
['3', '233', '464', '469', '463', '138', '466', '105']
['277', '176', '143', '411', '10', '345', '279', '273']
['448', '16', '54', '21', '120', '451', '215', '347']
['363', '499', '30', '34', '33', '330', '26', '230']
['11', '5', '241', '12', '8', '175', '341', '43']
['132', '133', '297', '491', '458', '127', '130', '425']
['172', '238', '473', '40', '73', '374', '106', '240']
['313', '482', '315', '383', '449', '317', '311', '115']
['154', '222', '152', '156', '53', '387', '321', '157']
['225', '328', '192', '93', '293', '394', '159', '60']
['364', '162', '166', '496', '100', '163', '169', '430']
['194', '427', '423', '66', '429', '462', '424', '99']
['229', '223', '226', '327', '191', '92', '261', '158']
['232', '135', '36', '236', '164', '201', '495', '271']
['71', '465', '467', '468', '428', '170', '263', '362']
['97', '198', '299', '202', '365', '493', '200', '332']
['298', '301', '336', '303', '134', '68', '402', '435']
['206', '37', '70', '167', '174', '136', '305', '171']
['22', '416', '421', '25', '57', '255', '90', '123']
['49', '284', '150', '146', '185', '218', '148', '478']
['168', '32', '131', '98', '302', '335', '494', '401']
['205', '208', '372', '405', '38', '207', '438', '306']
['140', '334', '35', '41', '400', '4', '367', '39']
['84', '216', '249', '82', '443', '80', '86', '78']
['62', '61', '63', '65', '492', '67', '426', '300']
['155', '326', '323', '190', '325', '257', '329', '322']
['409', '108', '442', '376', '278', '75', '275', '141']
['343', '197', '104', '407', '48', '339', '139', '440']
['58', '485', '353', '161', '291', '331', '397', '55']
['264', '262', '433', '434', '396', '103', '260', '431']
['470', '404', '268', '437', '270', '371', '369', '366']
['117', '350', '352', '348', '418', '346', '183', '354']
['320', '87', '457', '355', '27', '254', '454', '186']
['488', '484', '481', '480', '24', '19', '189', '251']
['351', '199', '1', '399', '45', '265', '203', '412']
['356', '422', '256', '124', '455', '23', '417', '483']
['76', '210', '74', '109', '72', '111', '142', '77']
['64', '227', '398', '31', '392', '359', '231', '196']
['314', '81', '182', '114', '180', '382', '246', '316']
['420', '187', '119', '497', '250', '500', '253', '79']
['184', '178', '282', '179', '181', '476', '113', '47']
['15', '310', '447', '83', '110', '378', '444', '477']
['85', '413', '52', '88', '118', '165', '252', '50']
['259', '129', '193', '125', '160', '128', '358', '121']
['211', '461', '486', '101', '490', '319', '204', '385']
['368', '9', '370', '13', '333', '2', '137', '471']
['28', '96', '59', '460', '391', '389', '94', '361']
['344', '338', '441', '439', '340', '107', '406', '173']
['379', '381', '377', '212', '247', '245', '51', '280']
['14', '474', '432', '408']
