['214', '368', '11', '3', '208', '441', '213', '193', '119', '445', '202', '17', '8', '121', '14', '7', '159', '0', '165', '322']
['84', '372', '482', '32', '156', '95', '387', '486', '91', '447', '302', '83', '82', '416', '150', '327', '148', '158', '392', '141']
['87', '274', '381', '408', '457', '81', '303', '333', '181', '418', '407', '458', '226', '45', '406', '401', '466', '78', '126', '483']
['184', '28', '129', '216', '85', '194', '237', '98', '349', '80', '77', '88', '341', '469', '242', '257', '90', '4', '239', '275']
['58', '140', '176', '59', '53', '434', '42', '456', '52', '422', '50', '479', '421', '40', '41', '215', '435', '186', '55', '46']
['168', '152', '259', '241', '199', '442', '249', '250', '323', '258', '248', '247', '253', '75', '244', '255', '203', '51', '252', '332']
['487', '379', '420', '488', '320', '211', '182', '29', '364', '309', '131', '497', '361', '189', '369', '429', '139', '219', '362', '366']
['474', '269', '63', '268', '267', '13', '384', '272', '409', '271', '476', '263', '104', '230', '342', '371', '260', '157', '261', '262']
['338', '205', '480', '294', '326', '336', '308', '376', '330', '113', '359', '107', '334', '35', '116', '335', '345', '224', '329', '325']
['61', '135', '76', '492', '390', '396', '343', '191', '467', '66', '69', '143', '74', '16', '10', '68', '195', '137', '449', '347']
['9', '414', '225', '206', '24', '453', '281', '212', '439', '411', '201', '218', '365', '346', '245', '200', '153', '130', '115', '240']
['351', '222', '15', '481', '450', '328', '65', '36', '319', '70', '295', '373', '443', '221', '103', '180', '452', '89', '183', '446']
['324', '478', '38', '19', '460', '423', '468', '473', '146', '419', '223', '493', '475', '477', '311', '462', '280', '138', '123', '471']
['485', '102', '149', '370', '220', '448', '106', '284', '410', '433', '164', '110', '109', '114', '278', '316', '111', '354', '118', '105']
['298', '5', '96', '178', '427', '377', '490', '229', '424', '233', '93', '395', '1', '27', '254', '94', '92', '147', '171', '99']
['177', '484', '97', '34', '210', '306', '266', '238', '163', '464', '48', '428', '276', '231', '86', '402', '444', '43', '412', '436']
['264', '277', '22', '470', '117', '310', '108', '228', '101', '405', '151', '155', '386', '293', '498', '388', '265', '279', '173', '273']
['49', '285', '64', '62', '461', '37', '472', '125', '54', '489', '378', '430', '438', '174', '382', '389', '246', '142', '463', '367']
['344', '304', '227', '363', '380', '499', '355', '352', '356', '100', '340', '47', '397', '56', '79', '23', '144', '169', '360', '44']
['313', '217', '301', '12', '179', '314', '315', '175', '166', '160', '393', '318', '297', '417', '170', '317', '204', '307', '400', '72']
['31', '30', '459', '122', '383', '188', '375', '234', '2', '33', '25', '426', '455', '128', '120', '454', '26', '451', '305', '71']
['357', '350', '398', '353', '289', '235', '437', '312', '348', '394', '391', '236', '283', '358', '21', '67', '399', '73', '286', '385']
['154', '404', '187', '172', '161', '270', '209', '162', '198', '192', '6', '167', '134', '190', '18', '494', '20', '60', '196', '39']
['292', '112', '290', '282', '465', '296', '197', '299', '287', '432', '496', '291', '57', '331', '415', '288', '127', '145', '440', '425']
['232', '321', '337', '413', '133', '403', '256', '132', '185', '251', '491', '243', '124', '207', '495', '339', '374', '136', '300', '431']
