['v3', 'q6', 'v7', 'q10', 'a5', 'x5', 'g3', 'v9', 'p9', 't5']
['h3', 'a7', 'g5', 'y9', 'g4', 'k4', 'r10', 'g10', 'g8', 'g7']
['b5', 'd8', 'n5', 'f9', 'f3', 'p3', 'd5', 'u8', 'c9', 'd4']
['j6', 'j4', 'c4', 'n8', 'j7', 'y4', 'e5', 'j10', 'x2', 'a1']
['s9', 'u9', 'p8', 'x8', 'd2', 'p5', 'n10', 'p7', 'k5', 'v10']
['e9', 'e6', 'h1', 'b7', 'm4', 'f2', 'm6', 'k8', 'v6', 'm8']
['u6', 'g9', 't6', 'l4', 'j8', 'x7', 'd1', 'w5', 'w6', 'w7']
['l9', 'l8', 'e4', 'l2', 'o3', 'u5', 'c1', 'h7', 'c6', 'm5']
['i3', 'i8', 'i6', 'i5', 'r1', 'a4', 'b2', 'i2', 'j1', 'a6']
['u1', 'j2', 'o7', 'x6', 'y2', 'x9', 'k7', 'a8', 'd3', 'k1']
['y1', 'y10', 'j3', 'y5', 'n9', 'w8', 'b3', 'p10', 's3', 'e1']
['w1', 't1', 'm9', 'q7', 'i9', 'h9', 'o2', 's8', 'e8', 'w9']
['i7', 'u2', 'n2', 'p1', 'r5', 'r9', 't2', 'k2', 'o8', 'q2']
['v5', 'h5', 'l6', 'o5', 'o6', 't10', 'v2', 's7', 'v4', 'y6']
['x1', 'a2', 'n3', 'd6', 's1', 'j9', 'f7', 't4', 'f6', 'u10']
['r2', 'v1', 'b4', 'x10', 'v8', 'g1', 'g6', 'b1', 's6', 'h10']
['k6', 'o4', 'f10', 'q8', 'q9', 'o10', 'c2', 'u4', 'q4', 'd10']
['m1', 'p2', 'b8', 'y8', 't9', 'n6', 'l3', 'b10', 'c7', 'w2']
['p6', 'd7', 's5', 'h6', 'c3', 'i4', 'y3', 'o1', 'o9', 'b9']
['w4', 'g2', 'h2', 'e2', 's4', 'i1', 'm10', 't3', 'c10', 'q1']
['f4', 'u7', 'i10', 'f8', 'e7', 'f5', 'x3', 'f1', 'm3', 'c5']
['u3', 'h4', 'x4', 'r3', 'm2', 'q5', 'n1', 'n4', 'q3', 'k10']
['k9', 'a9', 't8', 'l1', 'a3', 'b6', 'r4', 't7', 's10', 'e3']
['y7', 'h8', 'r7', 'd9', 'r6', 'm7', 'w3', 'k3', 'a10', 'r8']
['s2', 'l7', 'l5', 'e10', 'n7', 'w10', 'j5', 'l10', 'c8', 'p4']
