['155', '168', '154', '328', '151', '162', '284']
['324', '326', '202', '330', '245', '327', '347']
['11', '12', '13', '19', '33', '106', '316']
['225', '228', '235', '229', '226', '244', '230']
['43', '301', '37', '314', '311', '148', '4']
['58', '282', '2', '113', '47', '41', '60']
['264', '269', '272', '73', '255', '257', '271']
['211', '217', '69', '81', '131', '317', '186']
['313', '285', '76', '312', '143', '67', '118']
['184', '259', '321', '308', '181', '165', '39']
['298', '149', '135', '237', '212', '75', '183']
['22', '31', '28', '34', '29', '27', '35']
['172', '175', '167', '174', '170', '169', '171']
['128', '137', '134', '136', '140', '139', '138']
['9', '95', '187', '104', '221', '280', '215']
['32', '119', '164', '124', '127', '130', '115']
['108', '74', '256', '258', '254', '44', '273']
['117', '213', '249', '319', '300', '325', '71']
['220', '40', '116', '288', '246', '77', '240']
['336', '333', '331', '334', '341', '335', '332']
['206', '205', '208', '210', '189', '207', '204']
['93', '146', '297', '107', '48', '242', '105']
['227', '222', '152', '209', '45', '219', '239']
['214', '82', '83', '79', '180', '80', '147']
['294', '292', '176', '289', '70', '295', '94']
['102', '97', '216', '299', '103', '142', '275']
['59', '53', '52', '54', '56', '55', '50']
['232', '241', '63', '178', '65', '293', '248']
['338', '179', '36', '233', '218', '51', '329']
['64', '3', '61', '110', '57', '114', '7']
['5', '315', '38', '100', '251', '111', '286']
['177', '112', '101', '132', '243', '231', '252']
['15', '17', '21', '25', '26', '20', '18']
['344', '350', '337', '348', '340', '346', '345']
['199', '197', '198', '201', '200', '203', '196']
['84', '129', '182', '296', '250', '153', '46']
['304', '24', '287', '318', '68', '145', '78']
['320', '62', '96', '85', '16', '6', '99']
['1', '349', '283', '150', '10', '224', '141']
['30', '188', '291', '238', '323', '247', '72']
['268', '267', '270', '253', '185', '42', '92']
['49', '109', '234', '23', '310', '307', '322']
['156', '161', '160', '159', '173', '157', '158']
['277', '274', '133', '278', '276', '144', '279']
['343', '236', '342', '66', '14', '163', '339']
['194', '193', '192', '98', '190', '195', '191']
['223', '263', '266', '265', '260', '261', '262']
['87', '91', '281', '88', '90', '86', '89']
['122', '125', '8', '121', '126', '120', '123']
['290', '303', '309', '166', '302', '306', '305']
