['378', '141', '129', '136']
['437', '433', '439', '432']
['365', '360', '353', '267']
['159', '157', '145', '152']
['458', '91', '128', '258']
['73', '65', '77', '72']
['200', '205', '386', '348']
['317', '312', '305', '319']
['246', '243', '241', '255']
['377', '383', '380', '381']
['122', '127', '118', '126']
['359', '376', '6', '316']
['277', '273', '272', '265']
['491', '94', '89', '95']
['340', '337', '3', '176']
['400', '495', '490', '494']
['488', '493', '481', '489']
['230', '225', '229', '228']
['297', '309', '304', '300']
['404', '428', '476', '473']
['470', '469', '466', '471']
['393', '192', '440', '242']
['334', '333', '335', '330']
['389', '390', '388', '385']
['38', '286', '281', '283']
['455', '453', '449', '448']
['40', '47', '45', '33']
['185', '190', '197', '189']
['352', '153', '163', '156']
['315', '318', '179', '194']
['451', '139', '442', '454']
['79', '78', '74', '70']
['254', '256', '342', '339']
['172', '169', '174', '171']
['87', '86', '82', '83']
['414', '422', '423', '418']
['331', '62', '63', '71']
['308', '227', '23', '18']
['106', '346', '1', '195']
['34', '204', '107', '36']
['410', '364', '92', '354']
['248', '320', '131', '253']
['213', '209', '208', '201']
['167', '162', '484', '166']
['57', '177', '60', '69']
['117', '112', '105', '113']
['85', '81', '84', '93']
['207', '203', '206', '215']
['221', '236', '115', '452']
['485', '413', '480', '114']
['486', '224', '434', '483']
['402', '20', '17', '220']
['9', '21', '14', '13']
['41', '218', '467', '44']
['296', '104', '97', '109']
['64', '149', '144', '280']
['8', '56', '32', '61']
['294', '475', '291', '289']
['421', '416', '417', '409']
['279', '278', '274', '275']
['155', '412', '158', '479']
['191', '314', '426', '186']
['336', '456', '219', '24']
['264', '19', '202', '328']
['306', '311', '419', '310']
['111', '102', '35', '110']
['165', '161', '160', '135']
['347', '276', '76', '187']
['301', '303', '299', '302']
['374', '372', '369', '100']
['25', '37', '30', '39']
['350', '298', '239', '234']
['28', '66', '43', '46']
['137', '142', '140', '384']
['251', '148', '7', '75']
['313', '321', '327', '325']
['420', '443', '472', '2']
['90', '259', '240', '245']
['216', '460', '468', '268']
['387', '396', '214', '147']
['345', '344', '351', '349']
['260', '151', '150', '146']
['249', '132', '188', '252']
['29', '31', '26', '22']
['0', '5', '370', '164']
['262', '270', '271', '266']
['329', '341', '332', '343']
['398', '399', '394', '397']
['379', '16', '391', '382']
['67', '403', '154', '447']
['363', '375', '361', '366']
['50', '55', '54', '51']
['10', '15', '261', '477']
['222', '226', '217', '231']
['474', '435', '438', '324']
['357', '27', '48', '12']
['395', '284', '464', '223']
['269', '292', '180', '257']
['184', '288', '293', '295']
['99', '461', '120', '436']
['429', '431', '424', '425']
['193', '263', '198', '196']
['138', '492', '134', '143']
['42', '11', '4', '212']
['173', '168', '175', '170']
['465', '116', '430', '371']
['178', '182', '181', '183']
['123', '326', '323', '244']
['358', '355', '367', '362']
['210', '119', '322', '59']
['459', '462', '463', '457']
['237', '250', '233', '232']
['487', '405', '482', '478']
['247', '199', '408', '238']
['444', '441', '445', '446']
['282', '285', '287', '392']
['101', '98', '103', '96']
['49', '52', '427', '53']
['338', '307', '130', '411']
['121', '133', '125', '124']
['368', '373', '235', '356']
['211', '88', '80', '290']
['406', '401', '415', '407']
['58', '450', '68', '108']
