['KRWXO', 'XXRUC', 'DSUJE', 'JTHWI', 'ORRXP']
['LCHJI', 'RUYNY', 'AICHQ', 'XBLXM', 'UZKCN']
['QECFT', 'NWAHL', 'PECLI', 'WTGUO', 'TTIDN']
['LNIAF', 'DSQUZ', 'WJAIQ', 'VPSEI', 'OTQON']
['AWDBE', 'KEMJT', 'SHLYA', 'PSVNQ', 'NCDJQ']
['CPJBS', 'HXXMK', 'WUTXG', 'XWMKT', 'ZCVZT']
['RMUXW', 'VGUGP', 'EAITX', 'VFFHE', 'OCOQX']
['TKYGG', 'NUSHB', 'GEQFC', 'AGDTK', 'FSTKF']
['HKVZW', 'BNYBV', 'EAEIR', 'ENWEP', 'HSIWG']
['UFVEC', 'ALXRH', 'VLQCW', 'IGQNP', 'ZPTPS']
['PLFWC', 'VBRPO', 'QPVND', 'UHYVL', 'VIPLF']
['FDGQA', 'PSZDK', 'IRAUO', 'PXCKJ', 'TVCFA']
['EHHWX', 'EHMWV', 'YWPLR', 'TBPZM', 'AWUBI']
['GOXXP', 'ZIJNW', 'IZMEQ', 'GZQDO', 'ZBJTS']
['DCJPL', 'MXMMA', 'IVZGD', 'DFVZW', 'DUAEB']
['YJCIZ', 'JHGWB', 'GVYUW', 'FCWUA', 'QCRLR']
['MXBHP', 'EADHZ', 'MWVBQ', 'THQAC', 'OSLVS']
['ZEPYJ', 'FXFUX', 'SIGOM', 'QGXZJ', 'ZLQYF']
['SJJMM', 'FELNZ', 'VATKD', 'QSYML', 'DKSJV']
['JCOPI', 'CPTCX', 'AXQPJ', 'ZUTJZ', 'PKHDM']
['TFGVT', 'CKFJL', 'YQSUZ', 'ECNTU', 'MEKWP']
['KCHSD', 'BVCTY', 'VQDCT', 'MESKQ', 'FBWOW']
['CBJEL', 'ERTVL', 'HFDOF', 'VWJWK', 'RJIED']
['DVLFX', 'XUYPR', 'OAGEZ', 'SZXFW', 'TLZCG']
['ZNMAJ', 'HATBR', 'RURLC', 'GCQTP', 'IAADS']
['QYWKX', 'CKHRK', 'DKHZJ', 'FGDHQ', 'OXRDD']
['DVRRV', 'HNKDE', 'YWCZV', 'ZJPJO', 'ONQWA']
['YJPCO', 'FJPVZ', 'RFWKF', 'CIILB', 'HGJEC']
['APXMD', 'CHIJG', 'WLCAR', 'VGCRP', 'JAFZN']
['YBAFX', 'CIOFH', 'ZHVLK', 'PTRTD', 'CQBIT']
['EGIIY', 'CLLNQ', 'RDCTS', 'XEEVL', 'DBIOJ']
['TFWCC', 'HAXVF', 'ETYTK', 'AHMRO', 'KENPF']
['ENKVR', 'ACMPF', 'QGGOH', 'OKQTW', 'OMYLR']
['UGVLA', 'RUGKU', 'QIALM', 'BLHOQ', 'CCNPM']
['AILUZ', 'UHSWZ', 'TNZEA', 'OVYDG', 'HCVBR']
['IKHTD', 'FVYLB', 'OVYUV', 'XBSXA', 'IXMQO']
['IGUWL', 'DFBMK', 'VVCGQ', 'QVNNO', 'BGOJW']
['OJGET', 'JOZYK', 'MRXML', 'VNVFZ', 'BTWAZ']
['ZQDIP', 'BBVXC', 'WUCQA', 'LIQGP', 'HNXEZ']
['CUUFQ', 'FCJLJ', 'LYGHF', 'WGGGP', 'SEYUH']
['TEFPC', 'NHQWU', 'SKBJW', 'PGHQU', 'TUSMK']
['QCHPG', 'LSZMU', 'QAOAR', 'BNJLP', 'YQPNL']
['SVMGK', 'ERQBP', 'OXRUQ', 'GNCHO', 'PKBGA']
['NSDMC', 'BPZOY', 'RQZPM', 'UQKOV', 'GAEKQ']
['MTCGB', 'QUECI', 'OKPQW', 'FEUEQ', 'SYIZZ']
['SGXHX', 'UHOTV', 'JXGHX', 'JEBNF', 'IBUGB']
['KUMCW', 'CBNUD', 'TAHXC', 'TFEWH', 'PVVAV']
['WWYEF', 'YORBA', 'KDZKT', 'XIDUV', 'MIKDS']
['EOCJX', 'JQBSO', 'CVNCZ', 'TYMOI', 'UCQZE']
['XNYRJ', 'SGTRH', 'NSAJQ', 'CSQHY', 'OLFRP']
['BBKUO', 'VTOZN', 'YNIQG', 'CIUZU', 'ZRVWH']
['QNUDR', 'UBCVC', 'WNYYG', 'RMJIF', 'PQDFC']
['WDGCR', 'SRFIJ', 'FZRBE', 'MQDQQ', 'TKJBK']
['XUHAP', 'SMSHQ', 'QGRPC', 'XBTFE', 'QQXNO']
['IAMKK', 'OENWP', 'IRNCA', 'EBLCO', 'GUDYJ']
