['344', '277', '353', '303', '16', '323', '283', '393', '138', '27', '365', '167', '389', '254', '334', '137', '311', '260', '322', '183', '141']
['9', '351', '28', '129', '12', '97', '193', '364', '377', '270', '135', '228', '33', '124', '14', '56', '369', '316', '140', '279', '77']
['117', '11', '232', '169', '398', '76', '268', '101', '301', '52', '91', '73', '358', '44', '399', '278', '286', '130', '55', '392', '18']
['15', '355', '161', '200', '74', '349', '258', '113', '266', '251', '281', '7', '361', '174', '136', '374', '307', '360', '115', '196', '354']
['177', '285', '261', '208', '205', '85', '122', '93', '181', '17', '295', '395', '70', '6', '397', '42', '203', '280', '325', '126', '39']
['84', '267', '197', '289', '237', '229', '133', '394', '128', '333', '223', '107', '25', '378', '48', '388', '189', '185', '94', '142', '327']
['213', '381', '37', '384', '284', '162', '36', '375', '19', '312', '2', '57', '373', '345', '218', '309', '265', '90', '246', '71', '230']
['238', '69', '179', '343', '296', '272', '175', '104', '319', '164', '247', '331', '26', '339', '68', '335', '180', '21', '86', '118', '105']
['350', '31', '95', '220', '63', '290', '132', '356', '29', '299', '160', '41', '201', '250', '1', '191', '111', '263', '92', '147', '275']
['22', '363', '222', '3', '178', '30', '182', '249', '227', '209', '383', '233', '291', '330', '163', '88', '75', '35', '139', '145', '46']
['87', '298', '328', '217', '337', '308', '348', '188', '376', '212', '386', '166', '40', '100', '79', '45', '103', '341', '109', '127', '252']
['357', '304', '49', '62', '292', '96', '61', '112', '282', '321', '38', '368', '293', '253', '297', '371', '257', '204', '305', '215', '273']
['5', '259', '294', '102', '108', '53', '195', '119', '8', '143', '159', '359', '207', '190', '120', '80', '306', '400', '186', '4', '50']
['168', '184', '380', '310', '274', '187', '336', '192', '65', '32', '125', '256', '150', '202', '318', '47', '10', '242', '245', '165', '262']
['379', '225', '288', '317', '81', '390', '198', '391', '287', '54', '83', '221', '114', '144', '244', '51', '382', '173', '329', '239', '99']
['211', '264', '206', '64', '149', '370', '199', '106', '314', '59', '326', '155', '236', '110', '340', '66', '116', '248', '231', '153', '171']
['320', '152', '241', '269', '156', '194', '210', '235', '271', '396', '148', '234', '346', '20', '23', '170', '276', '224', '300', '78', '332']
['58', '338', '154', '372', '34', '387', '151', '315', '82', '131', '24', '302', '121', '134', '226', '367', '255', '243', '219', '72', '385']
['60', '214', '313', '216', '172', '352', '240', '342', '98', '89', '362', '43', '158', '347', '366']
['324', '176', '13', '146', '67', '157', '123']
